photo_id,exif_camera_make,exif_camera_model,exif_iso,exif_focal_length,exif_aperture_value,exif_exposure_time,orientation,iso_noise_bin_label,iso_noise_label,DoF_bin,DoF,exposure_label,focal_label_bin,focal_label
8ZgJyLGbC7Y,SONY,SLT-A77V,100,28,8,1/640,1,0,0,1,2,2,0,0
-_rYK0egLWE,Canon,Canon EOS 1100D,250,55,5.6,1/800,1,0,0,1,1,2,0,1
PewUcrT1yIw,Canon,Canon EOS REBEL T3i,400,18,8,0.3,1,0,0,1,2,0,0,0
kFxWDfj0pD8,Canon,Canon EOS REBEL T3,1600,50,1.8,1/500,1,1,1,0,0,2,0,1
r3ZWnitp3zk,NIKON CORPORATION,NIKON D3200,100,55,5.6,1/100,1,0,0,1,1,1,0,1
28ztKXfneYk,NIKON CORPORATION,NIKON D60,160,18,5.6,1/125,1,0,0,1,1,1,0,0
p-vdIYB4mFY,NORITSU KOKI,EZ Controller,,,,,1,,,,,,,
Gg7uKdHFb_c,Canon,Canon EOS REBEL T2i,100,18,3.5,1/1600,1,0,0,0,1,2,0,0
txuZ6ATkPMk,,,,,,,1,,,,,,,
ItGkpXAr8gk,Canon,Canon EOS REBEL T3,100,50,1.8,1/4000,1,0,0,0,0,2,0,1
12dXKDujs40,,,,,,,1,,,,,,,
H28ODcp4EUk,Canon,Canon EOS 60D,,28,2,1/3200,1,,,0,0,2,0,0
rDLBArZUl1c,Panasonic,DMC-GF1,100,20,1.8,1/200,0,0,0,0,0,1,0,0
YpY--zR8BC0,Canon,Canon EOS 5D Mark III,1600,40,22,1/400,1,1,1,1,2,2,0,1
PQ-_8LhCVOc,NIKON CORPORATION,NIKON D610,100,35,4.5,1/1000,1,0,0,1,1,2,0,0
Ng12EyF84Yw,SONY,DSLR-A200,100,26,9,1/80,1,0,0,1,2,1,0,0
-Y-XzY0HhEM,Panasonic,DMC-SZ1,100,4.5,3.1,1/60,1,0,0,0,0,1,0,0
UDa5FrOWgQ8,Canon,Canon EOS 6D,200,35,13,1/320,1,0,0,1,2,2,0,0
mxaZ98ZYuIs,Canon,Canon EOS 60D,320,10,18,0.8,1,0,0,1,2,0,0,0
gkT4FfgHO5o,FUJIFILM,X-E1,200,18,14,1/350,1,0,0,1,2,2,0,0
2qLT_Rq-2tk,NIKON CORPORATION,NIKON D3100,200,34,5,1/60,1,0,0,1,1,1,0,0
cNDGZ2sQ3Bo,Canon,Canon EOS 60D,100,40,9,1/320,1,0,0,1,2,2,0,1
ti4uz330CwU,,,,,,,1,,,,,,,
yBXLjBteptw,Canon,Canon EOS REBEL T2i,1600,250,10,1/125,1,1,1,1,2,1,1,2
HYA9Ak06qR8,SONY,ILCE-7,100,,,10,1,0,0,,,0,,
qFabgklobRY,Canon,Canon EOS 60D,100,18,4.5,1/60,1,0,0,1,1,1,0,0
tq6Ra0jDMi0,NIKON CORPORATION,NIKON D3100,400,18,3.8,1/60,1,0,0,1,1,1,0,0
oliegs9Dhg8,Canon,Canon EOS 20D,100,28,4,1/640,1,0,0,1,1,2,0,0
mwhklqGVzck,FUJIFILM,X-S1,100,6.1,7.1,1/400,1,0,0,1,2,2,0,0
wkZjjrcl9oo,,,,,,,1,,,,,,,
iuZ_D1eoq9k,Canon,Canon EOS 5D,100,50,1.6,1/1600,0,0,0,0,0,2,0,1
KpqijGSBWmw,NIKON CORPORATION,NIKON D5100,400,17,9,1/100,1,0,0,1,2,1,0,0
BeD3vjQ8SI0,FUJIFILM,X-E1,200,35,1.4,1/1700,1,0,0,0,0,2,0,0
2wugfiddtXw,,,,,,,1,,,,,,,
dO0KS_QGnzY,,,,,,,1,,,,,,,
OokBLPrkCNk,FUJIFILM,FinePix X100,800,23,8,1/1000,1,1,1,1,2,2,0,0
DqYw4KMZYOE,Canon,Canon EOS 5D Mark II,3200,28,4,30,1,1,2,1,1,0,0,0
ocwmWiNAWGs,SONY,SLT-A57,,35,3.5,1/4000,1,,,0,1,2,0,0
MeP_uNYMHuk,SONY,DSLR-A350,100,70,5.6,1/800,1,0,0,1,1,2,0,1
Z5qD8T3wVvk,Canon,Canon EOS 5D Mark III,400,70,5,1/320,1,0,0,1,1,2,0,1
HZg0vJHFyg0,,,,,,,1,,,,,,,
gq4kE8KRP8c,,,,,,,1,,,,,,,
mqtn_g1ogIY,Apple,iPhone 5c,50,4.1,2.4,1/935,1,0,0,0,0,2,0,0
dSM6qcdS7Hk,Canon,Canon EOS 5D Mark II,200,50,,1/125,1,0,0,,,1,0,1
CH4AVMDbr4Q,NIKON CORPORATION,NIKON D7000,140,18,8,1/250,1,0,0,1,2,1,0,0
2ShvY8Lf6l0,Canon,Canon EOS 7D,100,50,1.8,1/800,1,0,0,0,0,2,0,1
jeZXVb3JHgc,,,,,,,1,,,,,,,
d8IPvipdj1Y,,,,,,,1,,,,,,,
Fu8pblIzEL0,NIKON CORPORATION,NIKON D5100,100,50,1.8,1/4000,1,0,0,0,0,2,0,1
cGe1PV_yEso,Canon,Canon EOS REBEL T2i,100,21,5,1/80,1,0,0,1,1,1,0,0
gxuJV1SMk_s,,,,,,,1,,,,,,,
nUTaiCDS9RE,Canon,Canon EOS 5D Mark II,100,17,8,1/640,1,0,0,1,2,2,0,0
8CDzJFF10d0,NIKON CORPORATION,NIKON D90,200,105,6.3,1/640,1,0,0,1,2,2,1,2
o94ZSuWMeis,,,,,,,1,,,,,,,
VNO2rqdLkKk,Canon,Canon EOS 700D,100,24,4,1/1000,1,0,0,1,1,2,0,0
7F24TkqrCLQ,FUJIFILM,X-E2,1600,18,16,1/850,1,1,1,1,2,2,0,0
QSOITSYgM5E,NIKON CORPORATION,NIKON D5100,400,18,5,1/100,1,0,0,1,1,1,0,0
RS4YhxRHgBk,Canon,Canon EOS 10D,1600,54,4.5,1/4000,1,1,1,1,1,2,0,1
FIKD9t5_5zQ,Canon,Canon EOS 5D Mark II,200,50,2.8,1/50,1,0,0,0,0,1,0,1
NXciM5wByZg,NIKON CORPORATION,NIKON D3300,100,42,22,25,1,0,0,1,2,0,0,1
1E11Vqg_2hk,Canon,Canon EOS 6D,320,105,4,1/125,1,0,0,1,1,1,1,2
