,photo_id,exif_camera_make,exif_camera_model,exif_iso,exif_focal_length,exif_aperture_value,exif_exposure_time,orientation,photo_width,photo_height,photo_aspect_ratio
0,8ZgJyLGbC7Y,SONY,SLT-A77V,100.0,28.0,8.0,1/640,1,6000,4000,1.5
1,-_rYK0egLWE,Canon,Canon EOS 1100D,250.0,55.0,5.6,1/800,1,4272,2848,1.5
2,PewUcrT1yIw,Canon,Canon EOS REBEL T3i,400.0,18.0,8.0,0.3,1,5067,3375,1.50133333333333
3,kFxWDfj0pD8,Canon,Canon EOS REBEL T3,1600.0,50.0,1.8,1/500,1,4272,2797,1.52735073292814
4,r3ZWnitp3zk,NIKON CORPORATION,NIKON D3200,100.0,55.0,5.6,1/100,1,5104,3454,1.4777070063694298
5,28ztKXfneYk,NIKON CORPORATION,NIKON D60,160.0,18.0,5.6,1/125,1,3872,2592,1.4938271604938302
6,p-vdIYB4mFY,NORITSU KOKI,EZ Controller,,,,,1,6774,4492,1.5080142475512002
7,Gg7uKdHFb_c,Canon,Canon EOS REBEL T2i,100.0,18.0,3.5,1/1600,1,4442,2961,1.50016886187099
8,txuZ6ATkPMk,,,,,,,1,3025,2268,1.33377425044092
9,ItGkpXAr8gk,Canon,Canon EOS REBEL T3,100.0,50.0,1.8,1/4000,1,4272,2848,1.5
10,12dXKDujs40,,,,,,,1,3662,2848,1.28581460674157
11,H28ODcp4EUk,Canon,Canon EOS 60D,,28.0,2.0,1/3200,1,3264,2176,1.5
13,YpY--zR8BC0,Canon,Canon EOS 5D Mark III,1600.0,40.0,22.0,1/400,1,5760,3840,1.5
14,PQ-_8LhCVOc,NIKON CORPORATION,NIKON D610,100.0,35.0,4.5,1/1000,1,5062,4016,1.2604581673306798
15,Ng12EyF84Yw,SONY,DSLR-A200,100.0,26.0,9.0,1/80,1,3543,2372,1.49367622259696
16,-Y-XzY0HhEM,Panasonic,DMC-SZ1,100.0,4.5,3.1,1/60,1,4608,3456,1.33333333333333
17,UDa5FrOWgQ8,Canon,Canon EOS 6D,200.0,35.0,13.0,1/320,1,5472,3648,1.5
18,mxaZ98ZYuIs,Canon,Canon EOS 60D,320.0,10.0,18.0,0.8,1,2880,1647,1.74863387978142
19,gkT4FfgHO5o,FUJIFILM,X-E1,200.0,18.0,14.0,1/350,1,2500,1667,1.4997000599880002
20,2qLT_Rq-2tk,NIKON CORPORATION,NIKON D3100,200.0,34.0,5.0,1/60,1,4608,3072,1.5
21,cNDGZ2sQ3Bo,Canon,Canon EOS 60D,100.0,40.0,9.0,1/320,1,2564,1710,1.4994152046783602
22,ti4uz330CwU,,,,,,,1,4240,2832,1.49717514124294
23,yBXLjBteptw,Canon,Canon EOS REBEL T2i,1600.0,250.0,10.0,1/125,1,3456,2304,1.5
24,HYA9Ak06qR8,SONY,ILCE-7,100.0,,,10,1,5179,3453,1.49985519837822
25,qFabgklobRY,Canon,Canon EOS 60D,100.0,18.0,4.5,1/60,1,5184,3456,1.5
26,tq6Ra0jDMi0,NIKON CORPORATION,NIKON D3100,400.0,18.0,3.8,1/60,1,3456,2304,1.5
27,oliegs9Dhg8,Canon,Canon EOS 20D,100.0,28.0,4.0,1/640,1,3329,2219,1.50022532672375
28,mwhklqGVzck,FUJIFILM,X-S1,100.0,6.1,7.1,1/400,1,4000,2250,1.77777777777778
29,wkZjjrcl9oo,,,,,,,1,3132,2661,1.17700112739572
31,KpqijGSBWmw,NIKON CORPORATION,NIKON D5100,400.0,17.0,9.0,1/100,1,4605,3050,1.5098360655737701
32,BeD3vjQ8SI0,FUJIFILM,X-E1,200.0,35.0,1.4,1/1700,1,4896,3264,1.5
33,2wugfiddtXw,,,,,,,1,4032,2272,1.7746478873239397
34,dO0KS_QGnzY,,,,,,,1,2816,2112,1.33333333333333
35,OokBLPrkCNk,FUJIFILM,FinePix X100,800.0,23.0,8.0,1/1000,1,3011,2000,1.5055
36,DqYw4KMZYOE,Canon,Canon EOS 5D Mark II,3200.0,28.0,4.0,30,1,2550,1700,1.5
37,ocwmWiNAWGs,SONY,SLT-A57,,35.0,3.5,1/4000,1,2310,1534,1.5058670143415902
38,MeP_uNYMHuk,SONY,DSLR-A350,100.0,70.0,5.6,1/800,1,4592,2576,1.7826086956521698
39,Z5qD8T3wVvk,Canon,Canon EOS 5D Mark III,400.0,70.0,5.0,1/320,1,5760,3840,1.5
40,HZg0vJHFyg0,,,,,,,1,4928,3264,1.5098039215686296
41,gq4kE8KRP8c,,,,,,,1,1600,1066,1.5009380863039399
42,mqtn_g1ogIY,Apple,iPhone 5c,50.0,4.1,2.4,1/935,1,3264,2448,1.33333333333333
43,dSM6qcdS7Hk,Canon,Canon EOS 5D Mark II,200.0,50.0,,1/125,1,2913,1942,1.5
44,CH4AVMDbr4Q,NIKON CORPORATION,NIKON D7000,140.0,18.0,8.0,1/250,1,2000,1325,1.5094339622641497
45,2ShvY8Lf6l0,Canon,Canon EOS 7D,100.0,50.0,1.8,1/800,1,2560,1440,1.77777777777778
46,jeZXVb3JHgc,,,,,,,1,5103,3402,1.5
47,d8IPvipdj1Y,,,,,,,1,2048,1400,1.46285714285714
48,Fu8pblIzEL0,NIKON CORPORATION,NIKON D5100,100.0,50.0,1.8,1/4000,1,4928,3264,1.5098039215686296
49,cGe1PV_yEso,Canon,Canon EOS REBEL T2i,100.0,21.0,5.0,1/80,1,2000,1333,1.50037509377344
50,gxuJV1SMk_s,,,,,,,1,2530,1687,1.4997036158861898
51,nUTaiCDS9RE,Canon,Canon EOS 5D Mark II,100.0,17.0,8.0,1/640,1,5616,3159,1.77777777777778
52,8CDzJFF10d0,NIKON CORPORATION,NIKON D90,200.0,105.0,6.3,1/640,1,4288,2848,1.5056179775280902
53,o94ZSuWMeis,,,,,,,1,3872,2592,1.4938271604938302
54,VNO2rqdLkKk,Canon,Canon EOS 700D,100.0,24.0,4.0,1/1000,1,5184,3456,1.5
55,7F24TkqrCLQ,FUJIFILM,X-E2,1600.0,18.0,16.0,1/850,1,2500,1667,1.4997000599880002
56,QSOITSYgM5E,NIKON CORPORATION,NIKON D5100,400.0,18.0,5.0,1/100,1,4928,3264,1.5098039215686296
57,RS4YhxRHgBk,Canon,Canon EOS 10D,1600.0,54.0,4.5,1/4000,1,3072,2048,1.5
58,FIKD9t5_5zQ,Canon,Canon EOS 5D Mark II,200.0,50.0,2.8,1/50,1,5464,3643,1.4998627504803703
59,NXciM5wByZg,NIKON CORPORATION,NIKON D3300,100.0,42.0,22.0,25,1,4942,2780,1.7776978417266203
60,1E11Vqg_2hk,Canon,Canon EOS 6D,320.0,105.0,4.0,1/125,1,5472,3648,1.5
61,3CjX86heiUk,NIKON CORPORATION,NIKON D300,100.0,10.0,16.0,1/60,1,4288,2848,1.5056179775280902
62,JQ3GQzG3iX4,SONY,ILCE-7M2,200.0,140.0,4.0,1/200,1,6000,4000,1.5
63,th4bqV0PQpI,Canon,Canon EOS 6D,200.0,24.0,5.0,1/2500,1,2736,1824,1.5
64,j2HQKlLFT_c,Apple,iPhone 6,32.0,4.2,2.2,1/3300,1,3264,2448,1.33333333333333
65,esax_xh52zg,Apple,iPhone 5c,50.0,4.1,2.4,1/196,1,3264,2448,1.33333333333333
66,hSVAoeksQ7c,NIKON CORPORATION,NIKON D3100,100.0,13.0,25.0,8,1,4608,3072,1.5
68,Luwp6HZB2Oo,SONY,SLT-A77V,80.0,300.0,5.6,1/250,1,6000,4000,1.5
69,NxzovEuz878,NIKON CORPORATION,NIKON D50,200.0,19.0,7.1,1/200,1,3008,2000,1.504
