photo_id,photo_url,photo_image_url,exif_camera_make,exif_camera_model,exif_iso,exif_focal_length,exif_aperture_value,exif_exposure_time,photo_width,photo_height,photo_aspect_ratio,orientation
79hJX_Wl6ac,https://unsplash.com/photos/79hJX_Wl6ac,https://images.unsplash.com/photo-1513383859905-1ef0739c84ed,Canon,Canon EOS 5D Mark II,100,50,1.8,1/200,3744,5616,0.67,0
9cH-uVU__0c,https://unsplash.com/photos/9cH-uVU__0c,https://images.unsplash.com/photo-1507331789086-893e9003c0e2,Canon,Canon EOS 6D,200,80,5.6,1/80,3648,5472,0.67,0
A9Vbvh_dMG0,https://unsplash.com/photos/A9Vbvh_dMG0,https://images.unsplash.com/photo-1455625464345-91f3283486e4,SONY,ILCE-7R,100,55,9,1/160,3000,2001,1.5,1
BMO1D0CmiJo,https://unsplash.com/photos/BMO1D0CmiJo,https://images.unsplash.com/photo-1504311640015-772816fba558,,,,,,,4240,2832,1.5,1
DoMfuJkUuU0,https://unsplash.com/photos/DoMfuJkUuU0,https://images.unsplash.com/photo-1521060723992-b8c732759e85,Canon,Canon EOS 6D,100,50,5.6,1/500,3648,5472,0.67,0
DICEPtYOr1M,https://unsplash.com/photos/DICEPtYOr1M,https://images.unsplash.com/photo-1485102068545-7286b0d199d8,LEICA CAMERA AG,LEICA X1,100,,3.2,1/100,4272,2856,1.5,1
LN8t4ZAGZFQ,https://unsplash.com/photos/LN8t4ZAGZFQ,https://images.unsplash.com/photo-1497293194408-f99df0ef85bf,NIKON CORPORATION,NIKON D500,200,200,2.8,1/8000,5568,3712,1.5,1
x5WHdQ3NTCg,https://unsplash.com/photos/x5WHdQ3NTCg,https://images.unsplash.com/photo-1481093903765-de0b1d88f1a5,Canon,Canon EOS 5D Mark III,320,85,4,1/160,5760,3840,1.5,1
wZybkWjETWo,https://unsplash.com/photos/wZybkWjETWo,https://images.unsplash.com/photo-1496787861170-7c8901ee5b41,Canon,Canon EOS 6D,100,70,2.8,1/500,5000,3333,1.5,1
Lza_12_verw,https://unsplash.com/photos/Lza_12_verw,https://images.unsplash.com/photo-1511395689060-672ef8df1c3b,PENTAX,PENTAX K-x,100,35,5.6,1/500,2687,3519,0.76,0
hUp58GsPKAw,https://unsplash.com/photos/hUp58GsPKAw,https://images.unsplash.com/photo-1515545109095-cf8abbc557f3,FUJIFILM,X-T1,200,35,2.8,1/1000,1678,2445,0.69,0
QWiQ-0AAHBE,https://unsplash.com/photos/QWiQ-0AAHBE,https://images.unsplash.com/photo-1550005269-c50806593dd9,Canon,Canon EOS 6D,160,50,1.6,1/2000,5472,3648,1.5,1
gLBCxsQEA60,https://unsplash.com/photos/gLBCxsQEA60,https://images.unsplash.com/photo-1523316970297-654e42445f32,FUJIFILM,X-Pro2,200,16,3.2,1/250,6000,4000,1.5,1
hYV224kZ23Q,https://unsplash.com/photos/hYV224kZ23Q,https://images.unsplash.com/photo-1540136609546-51a0e6ff5276,FUJIFILM,X-T3,80,56,2.8,1/8000,6240,4160,1.5,1
uqYy29Sfb8Q,https://unsplash.com/photos/uqYy29Sfb8Q,https://images.unsplash.com/photo-1515581247767-d78687bf2254,Canon,Canon EOS 650D,100,30,14,1/100,5184,2916,1.78,1
lHeXOpxzok8,https://unsplash.com/photos/lHeXOpxzok8,https://images.unsplash.com/photo-1544449342-9ae67601ab08,Canon,Canon EOS 60D,160,17,3.2,1/80,3338,5007,0.67,0
2HI-i7o1qQc,https://unsplash.com/photos/2HI-i7o1qQc,https://images.unsplash.com/photo-1543614484-bba8717ea61d,SONY,ILCE-6300,160,19,4,1/1000,4000,6000,0.67,0
AD_h-vmwvyE,https://unsplash.com/photos/AD_h-vmwvyE,https://images.unsplash.com/photo-1552624190-54dbd7f73993,SONY,ILCE-7S,200,50,4,1/1000,2753,4122,0.67,0
aDvDvH428RQ,https://unsplash.com/photos/aDvDvH428RQ,https://images.unsplash.com/photo-1565718164453-cc732b84df9b,SONY,ILCE-7SM2,4000,50,4,1/60,2832,4240,0.67,0
wg2xU_UNiVc,https://unsplash.com/photos/wg2xU_UNiVc,https://images.unsplash.com/photo-1567769541495-338ee7203e3c,Canon,Canon EOS 6D,320,50,3.2,1/125,3152,4728,0.67,0
A9kYGeJkMZE,https://unsplash.com/photos/A9kYGeJkMZE,https://images.unsplash.com/photo-1489094889106-39069373d6ef,NIKON CORPORATION,NIKON D4S,400,35,2.2,1/8000,4928,3280,1.5,1
FIOMaW2TaP8,https://unsplash.com/photos/FIOMaW2TaP8,https://images.unsplash.com/photo-1568402102880-4184038bbcbf,NIKON CORPORATION,NIKON D5200,100,30,5.6,1/500,2765,4147,0.67,0
-oBq1dy8Nt4,https://unsplash.com/photos/-oBq1dy8Nt4,https://images.unsplash.com/photo-1576468475366-750da388e843,Canon,Canon EOS 5D Mark IV,400,50,1.4,1/640,4371,6557,0.67,0
VS8suHoZ8KE,https://unsplash.com/photos/VS8suHoZ8KE,https://images.unsplash.com/photo-1514032536277-6f49fa8927a0,Canon,Canon EOS 70D,200,50,6.3,1/640,5472,3648,1.5,1
soIigqWsH_g,https://unsplash.com/photos/soIigqWsH_g,https://images.unsplash.com/photo-1532053535693-4d96cfd5f529,Canon,Canon EOS 6D,800,50,2.2,1/250,2736,4104,0.67,0
84xB-YwhnIk,https://unsplash.com/photos/84xB-YwhnIk,https://images.unsplash.com/photo-1514544694594-15b8c8b34751,Canon,Canon EOS 70D,100,50,7.1,1/125,3648,5472,0.67,0
_UZJN5WmrSI,https://unsplash.com/photos/_UZJN5WmrSI,https://images.unsplash.com/photo-1529264563814-0aa1e17d2a4a,Canon,Canon EOS 5D Mark II,100,50,3.5,1/125,3744,5616,0.67,0
dCfagb2y28M,https://unsplash.com/photos/dCfagb2y28M,https://images.unsplash.com/photo-1597533897555-b9cb1201e438,Canon,Canon EOS 60D,100,24,6.3,1/100,3333,5000,0.67,0
le7D9QFiPr8,https://unsplash.com/photos/le7D9QFiPr8,https://images.unsplash.com/photo-1520512202623-51c5c53957df,Canon,Canon EOS 5D Mark III,100,50,1.4,1/250,3840,5760,0.67,0
