,Unnamed: 0,photo_id,exif_camera_make,exif_camera_model,exif_iso,exif_focal_length,exif_aperture_value,exif_exposure_time,orientation,iso_noise_bin_label,iso_noise_label,DoF_bin,DoF,exposure_label,focal_label_bin,focal_label
0,0,8ZgJyLGbC7Y,SONY,SLT-A77V,100.0,28.0,8.0,1/640,1,0.0,0.0,1.0,2.0,2.0,0.0,0.0
1,1,-_rYK0egLWE,Canon,Canon EOS 1100D,250.0,55.0,5.6,1/800,1,0.0,0.0,1.0,1.0,2.0,0.0,1.0
2,2,PewUcrT1yIw,Canon,Canon EOS REBEL T3i,400.0,18.0,8.0,0.3,1,0.0,0.0,1.0,2.0,0.0,0.0,0.0
3,3,kFxWDfj0pD8,Canon,Canon EOS REBEL T3,1600.0,50.0,1.8,1/500,1,1.0,1.0,0.0,0.0,2.0,0.0,1.0
4,4,r3ZWnitp3zk,NIKON CORPORATION,NIKON D3200,100.0,55.0,5.6,1/100,1,0.0,0.0,1.0,1.0,1.0,0.0,1.0
5,5,28ztKXfneYk,NIKON CORPORATION,NIKON D60,160.0,18.0,5.6,1/125,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0
7,7,Gg7uKdHFb_c,Canon,Canon EOS REBEL T2i,100.0,18.0,3.5,1/1600,1,0.0,0.0,0.0,1.0,2.0,0.0,0.0
9,9,ItGkpXAr8gk,Canon,Canon EOS REBEL T3,100.0,50.0,1.8,1/4000,1,0.0,0.0,0.0,0.0,2.0,0.0,1.0
12,12,rDLBArZUl1c,Panasonic,DMC-GF1,100.0,20.0,1.8,1/200,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,13,YpY--zR8BC0,Canon,Canon EOS 5D Mark III,1600.0,40.0,22.0,1/400,1,1.0,1.0,1.0,2.0,2.0,0.0,1.0
14,14,PQ-_8LhCVOc,NIKON CORPORATION,NIKON D610,100.0,35.0,4.5,1/1000,1,0.0,0.0,1.0,1.0,2.0,0.0,0.0
15,15,Ng12EyF84Yw,SONY,DSLR-A200,100.0,26.0,9.0,1/80,1,0.0,0.0,1.0,2.0,1.0,0.0,0.0
16,16,-Y-XzY0HhEM,Panasonic,DMC-SZ1,100.0,4.5,3.1,1/60,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,17,UDa5FrOWgQ8,Canon,Canon EOS 6D,200.0,35.0,13.0,1/320,1,0.0,0.0,1.0,2.0,2.0,0.0,0.0
18,18,mxaZ98ZYuIs,Canon,Canon EOS 60D,320.0,10.0,18.0,0.8,1,0.0,0.0,1.0,2.0,0.0,0.0,0.0
19,19,gkT4FfgHO5o,FUJIFILM,X-E1,200.0,18.0,14.0,1/350,1,0.0,0.0,1.0,2.0,2.0,0.0,0.0
20,20,2qLT_Rq-2tk,NIKON CORPORATION,NIKON D3100,200.0,34.0,5.0,1/60,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0
21,21,cNDGZ2sQ3Bo,Canon,Canon EOS 60D,100.0,40.0,9.0,1/320,1,0.0,0.0,1.0,2.0,2.0,0.0,1.0
23,23,yBXLjBteptw,Canon,Canon EOS REBEL T2i,1600.0,250.0,10.0,1/125,1,1.0,1.0,1.0,2.0,1.0,1.0,2.0
25,25,qFabgklobRY,Canon,Canon EOS 60D,100.0,18.0,4.5,1/60,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0
26,26,tq6Ra0jDMi0,NIKON CORPORATION,NIKON D3100,400.0,18.0,3.8,1/60,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0
27,27,oliegs9Dhg8,Canon,Canon EOS 20D,100.0,28.0,4.0,1/640,1,0.0,0.0,1.0,1.0,2.0,0.0,0.0
28,28,mwhklqGVzck,FUJIFILM,X-S1,100.0,6.1,7.1,1/400,1,0.0,0.0,1.0,2.0,2.0,0.0,0.0
30,30,iuZ_D1eoq9k,Canon,Canon EOS 5D,100.0,50.0,1.6,1/1600,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
31,31,KpqijGSBWmw,NIKON CORPORATION,NIKON D5100,400.0,17.0,9.0,1/100,1,0.0,0.0,1.0,2.0,1.0,0.0,0.0
32,32,BeD3vjQ8SI0,FUJIFILM,X-E1,200.0,35.0,1.4,1/1700,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0
35,35,OokBLPrkCNk,FUJIFILM,FinePix X100,800.0,23.0,8.0,1/1000,1,1.0,1.0,1.0,2.0,2.0,0.0,0.0
36,36,DqYw4KMZYOE,Canon,Canon EOS 5D Mark II,3200.0,28.0,4.0,30,1,1.0,2.0,1.0,1.0,0.0,0.0,0.0
38,38,MeP_uNYMHuk,SONY,DSLR-A350,100.0,70.0,5.6,1/800,1,0.0,0.0,1.0,1.0,2.0,0.0,1.0
