,photo_id,exif_camera_make,exif_camera_model,exif_iso,exif_focal_length,exif_aperture_value,exif_exposure_time,orientation,iso_noise_bin_label,iso_noise_label,DoF_bin,DoF,exposure_label,focal_label_bin,focal_label
0,8ZgJyLGbC7Y,SONY,SLT-A77V,100,28,8,1/640,1,0,0,1,2,2,0,0
1,-_rYK0egLWE,Canon,Canon EOS 1100D,250,55,5.6,1/800,1,0,0,1,1,2,0,1
2,PewUcrT1yIw,Canon,Canon EOS REBEL T3i,400,18,8,0.3,1,0,0,1,2,0,0,0
3,kFxWDfj0pD8,Canon,Canon EOS REBEL T3,1600,50,1.8,1/500,1,1,1,0,0,2,0,1
4,r3ZWnitp3zk,NIKON CORPORATION,NIKON D3200,100,55,5.6,1/100,1,0,0,1,1,1,0,1
5,28ztKXfneYk,NIKON CORPORATION,NIKON D60,160,18,5.6,1/125,1,0,0,1,1,1,0,0
7,Gg7uKdHFb_c,Canon,Canon EOS REBEL T2i,100,18,3.5,1/1600,1,0,0,0,1,2,0,0
9,ItGkpXAr8gk,Canon,Canon EOS REBEL T3,100,50,1.8,1/4000,1,0,0,0,0,2,0,1
13,YpY--zR8BC0,Canon,Canon EOS 5D Mark III,1600,40,22,1/400,1,1,1,1,2,2,0,1
14,PQ-_8LhCVOc,NIKON CORPORATION,NIKON D610,100,35,4.5,1/1000,1,0,0,1,1,2,0,0
15,Ng12EyF84Yw,SONY,DSLR-A200,100,26,9,1/80,1,0,0,1,2,1,0,0
16,-Y-XzY0HhEM,Panasonic,DMC-SZ1,100,4.5,3.1,1/60,1,0,0,0,0,1,0,0
17,UDa5FrOWgQ8,Canon,Canon EOS 6D,200,35,13,1/320,1,0,0,1,2,2,0,0
18,mxaZ98ZYuIs,Canon,Canon EOS 60D,320,10,18,0.8,1,0,0,1,2,0,0,0
19,gkT4FfgHO5o,FUJIFILM,X-E1,200,18,14,1/350,1,0,0,1,2,2,0,0
20,2qLT_Rq-2tk,NIKON CORPORATION,NIKON D3100,200,34,5,1/60,1,0,0,1,1,1,0,0
21,cNDGZ2sQ3Bo,Canon,Canon EOS 60D,100,40,9,1/320,1,0,0,1,2,2,0,1
23,yBXLjBteptw,Canon,Canon EOS REBEL T2i,1600,250,10,1/125,1,1,1,1,2,1,1,2
25,qFabgklobRY,Canon,Canon EOS 60D,100,18,4.5,1/60,1,0,0,1,1,1,0,0
26,tq6Ra0jDMi0,NIKON CORPORATION,NIKON D3100,400,18,3.8,1/60,1,0,0,1,1,1,0,0
27,oliegs9Dhg8,Canon,Canon EOS 20D,100,28,4,1/640,1,0,0,1,1,2,0,0
28,mwhklqGVzck,FUJIFILM,X-S1,100,6.1,7.1,1/400,1,0,0,1,2,2,0,0
31,KpqijGSBWmw,NIKON CORPORATION,NIKON D5100,400,17,9,1/100,1,0,0,1,2,1,0,0
32,BeD3vjQ8SI0,FUJIFILM,X-E1,200,35,1.4,1/1700,1,0,0,0,0,2,0,0
35,OokBLPrkCNk,FUJIFILM,FinePix X100,800,23,8,1/1000,1,1,1,1,2,2,0,0
36,DqYw4KMZYOE,Canon,Canon EOS 5D Mark II,3200,28,4,30,1,1,2,1,1,0,0,0
38,MeP_uNYMHuk,SONY,DSLR-A350,100,70,5.6,1/800,1,0,0,1,1,2,0,1
39,Z5qD8T3wVvk,Canon,Canon EOS 5D Mark III,400,70,5,1/320,1,0,0,1,1,2,0,1
42,mqtn_g1ogIY,Apple,iPhone 5c,50,4.1,2.4,1/935,1,0,0,0,0,2,0,0
44,CH4AVMDbr4Q,NIKON CORPORATION,NIKON D7000,140,18,8,1/250,1,0,0,1,2,1,0,0
45,2ShvY8Lf6l0,Canon,Canon EOS 7D,100,50,1.8,1/800,1,0,0,0,0,2,0,1
48,Fu8pblIzEL0,NIKON CORPORATION,NIKON D5100,100,50,1.8,1/4000,1,0,0,0,0,2,0,1
49,cGe1PV_yEso,Canon,Canon EOS REBEL T2i,100,21,5,1/80,1,0,0,1,1,1,0,0
51,nUTaiCDS9RE,Canon,Canon EOS 5D Mark II,100,17,8,1/640,1,0,0,1,2,2,0,0
52,8CDzJFF10d0,NIKON CORPORATION,NIKON D90,200,105,6.3,1/640,1,0,0,1,2,2,1,2
54,VNO2rqdLkKk,Canon,Canon EOS 700D,100,24,4,1/1000,1,0,0,1,1,2,0,0
55,7F24TkqrCLQ,FUJIFILM,X-E2,1600,18,16,1/850,1,1,1,1,2,2,0,0
56,QSOITSYgM5E,NIKON CORPORATION,NIKON D5100,400,18,5,1/100,1,0,0,1,1,1,0,0
57,RS4YhxRHgBk,Canon,Canon EOS 10D,1600,54,4.5,1/4000,1,1,1,1,1,2,0,1
58,FIKD9t5_5zQ,Canon,Canon EOS 5D Mark II,200,50,2.8,1/50,1,0,0,0,0,1,0,1
59,NXciM5wByZg,NIKON CORPORATION,NIKON D3300,100,42,22,25,1,0,0,1,2,0,0,1
