,Unnamed: 0,photo_id,exif_camera_make,exif_camera_model,exif_iso,exif_focal_length,exif_aperture_value,exif_exposure_time,orientation,iso_noise_bin_label,iso_noise_label,DoF_bin,DoF,exposure_label,focal_label_bin,focal_label
12,12,rDLBArZUl1c,Panasonic,DMC-GF1,100.0,20.0,1.8,1/200,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30,30,iuZ_D1eoq9k,Canon,Canon EOS 5D,100.0,50.0,1.6,1/1600,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
67,67,xJqXTBt95tA,Apple,iPhone 5s,32.0,4.2,2.2,1/6849,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
87,87,mYXXokN8HZ0,SONY,DSC-HX200V,100.0,4.8,2.8,1/1000,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
88,88,2KXEb_8G5vo,Canon,Canon EOS 5D Mark III,3200.0,16.0,2.8,30,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
96,96,4brY6pFNZMg,Canon,Canon EOS 600D,200.0,50.0,1.8,1/640,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
115,115,kx8FdCycanQ,SONY,ILCE-7M2,100.0,16.0,6.3,1/400,0,0.0,0.0,1.0,2.0,2.0,0.0,0.0
118,118,vs6a4EHj_Ro,FUJIFILM,X-T1,200.0,23.0,2.2,1/500,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
136,136,8fYhrgV_IWg,Canon,Canon EOS 1100D,100.0,39.0,6.3,1/1000,0,0.0,0.0,1.0,2.0,2.0,0.0,1.0
160,160,LWzoYFmSRxc,Apple,iPhone 5s,32.0,4.2,2.2,1/275,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
171,171,G2ifDHnHZ6Y,NIKON CORPORATION,NIKON D7000,3200.0,11.0,3.2,25,0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
174,174,EXbGG5dBZKw,Canon,Canon PowerShot G7 X,250.0,8.8,4.0,1/640,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
190,190,agE97zp_Xvo,SAMSUNG TECHWIN Co.,SAMSUNG GX10,400.0,40.0,9.5,1/750,0,0.0,0.0,1.0,2.0,2.0,0.0,1.0
204,204,F0dmGPe2KG0,NIKON CORPORATION,NIKON D5500,1800.0,200.0,4.0,1/320,0,1.0,2.0,0.0,1.0,2.0,1.0,2.0
225,225,fJb9CeTGjvQ,,,200.0,44.0,5.0,1/160,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
248,248,1yglEKdGSzU,Canon,Canon EOS 5D Mark III,100.0,17.0,22.0,0.5,0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
250,250,n4A-qBj_e3Q,Canon,Canon PowerShot G7 X,125.0,8.8,5.6,1/200,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
255,255,p1vOiWrFm18,Apple,iPhone 6s,25.0,4.2,2.2,1/1026,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
256,256,4Xb2Fm84Z3g,SONY,ILCE-7M2,100.0,33.0,5.6,1/125,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
266,266,9PDBbyJc2eE,Apple,iPhone 7 Plus,20.0,4.0,1.8,1/669,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
268,268,fvRMiI6KFI4,NIKON CORPORATION,NIKON D7100,100.0,100.0,10.0,1/400,0,0.0,0.0,1.0,2.0,2.0,1.0,2.0
269,269,xqV9QdGOSas,FUJIFILM,X-Pro2,6400.0,35.0,2.0,1/90,0,1.0,2.0,0.0,0.0,1.0,0.0,0.0
270,270,Du5g-fwvcQc,NIKON CORPORATION,NIKON D3200,200.0,35.0,2.0,1/1250,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
274,274,KMYCSLP8uiU,NIKON CORPORATION,NIKON D810,200.0,55.0,3.5,1/100,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
283,283,UMftJn4b9yM,Canon,Canon EOS 500D,200.0,55.0,11.0,1/250,0,0.0,0.0,1.0,2.0,1.0,0.0,1.0
293,293,U8hfWW6uRvk,SONY,ILCE-7M2,100.0,55.0,3.5,1/800,0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
294,294,pesu5W2yXmQ,NIKON CORPORATION,NIKON D3200,100.0,50.0,1.8,1/640,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
306,306,bEwKUiMvsLM,Canon,Canon EOS 5D Mark III,100.0,28.0,4.5,1/1000,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
308,308,xMMh-VFGL9M,Canon,Canon EOS 6D,100.0,50.0,4.0,1/1000,0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
312,312,pDGNBK9A0sk,FUJIFILM,X-T1,200.0,23.0,2.0,1/80,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
327,327,TMikIBgzns4,Canon,Canon EOS REBEL T5,200.0,50.0,2.8,1/125,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
328,328,eJ2SnU81KnI,Canon,Canon EOS 7D,100.0,85.0,1.8,1/1250,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
341,341,HHduE-PP8go,Canon,Canon EOS 5D Mark III,500.0,140.0,4.0,1/250,0,1.0,1.0,0.0,1.0,1.0,1.0,2.0
347,347,HhmCIJTLuGY,Canon,Canon EOS 6D,200.0,28.0,4.0,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
349,349,8XFwrqj0Wtg,DJI,FC6310,100.0,8.8,2.8,1/800,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
358,358,U_gVev6vaok,SONY,ILCE-7M2,640.0,55.0,3.5,1/125,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
361,361,lCWVtSagxOs,Apple,iPhone 6,40.0,4.2,2.2,1/50,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
367,367,j7MM0yRLglw,Canon,Canon EOS 6D,800.0,20.0,1.4,30,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
378,378,mFbrMEVKCkc,Apple,iPhone 6s,25.0,4.2,2.2,1/1183,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
389,389,SHcHVFhz7-M,Canon,Canon EOS 6D,6400.0,28.0,7.1,30,0,1.0,2.0,1.0,2.0,0.0,0.0,0.0
393,393,WMLH0gatK50,SONY,ILCE-6000,200.0,21.0,4.0,1/800,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
397,397,zNv1vwEShic,NIKON CORPORATION,NIKON D4S,800.0,195.0,2.8,1/6400,0,1.0,1.0,0.0,0.0,2.0,1.0,2.0
402,402,V0YbWqOCsd4,FUJIFILM,X-T2,200.0,48.4,5.6,1/400,0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
403,403,LYK3ksSQyeo,Canon,Canon EOS 5D Mark IV,100.0,104.0,4.0,1/125,0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
406,406,1HmtbpxZ5aI,Canon,Canon EOS 70D,200.0,16.0,9.0,1/125,0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
413,413,BQolqSUXExk,NIKON CORPORATION,NIKON D750,100.0,50.0,1.4,1/100,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
423,423,GfZXZqWJj1c,NIKON CORPORATION,NIKON D750,100.0,70.0,7.1,1/30,0,0.0,0.0,1.0,2.0,1.0,0.0,1.0
426,426,fh2JefbNlII,Canon,Canon EOS 70D,800.0,50.0,6.3,1/3200,0,1.0,1.0,1.0,2.0,2.0,0.0,1.0
428,428,iMPND6oFrLo,Canon,Canon EOS 5D Mark III,50.0,50.0,1.8,1/200,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
429,429,0Act4VHAn1U,Canon,Canon EOS 80D,5000.0,17.0,4.0,1/1250,0,1.0,2.0,0.0,1.0,2.0,0.0,0.0
430,430,VIcTzkzNZR8,NIKON CORPORATION,NIKON D3400,1100.0,280.0,6.3,1/400,0,1.0,1.0,1.0,2.0,2.0,1.0,2.0
431,431,9J1fWKaWtjU,DJI,FC220,100.0,4.7,2.2,1/4000,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
435,435,WBOXY5oyoKg,Panasonic,DMC-G7,200.0,42.0,9.0,1/400,0,0.0,0.0,1.0,2.0,2.0,0.0,1.0
436,436,pvN2u4wDsZI,Canon,Canon EOS REBEL SL1,1600.0,50.0,1.8,1/80,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
441,441,DN_yjgCAShE,Canon,Canon EOS 5D Mark II,100.0,47.0,7.1,1/100,0,0.0,0.0,1.0,2.0,1.0,0.0,1.0
448,448,8G85qt-OmK0,Canon,Canon EOS 5D Mark IV,125.0,200.0,2.8,1/500,0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
455,455,FavFCFuToYs,Apple,iPhone X,20.0,4.0,1.8,1/1715,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
458,458,BHuC9BoigOU,NIKON CORPORATION,NIKON D3200,400.0,35.0,2.8,1/400,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
459,459,ZJJnafokhsQ,NIKON CORPORATION,NIKON D750,640.0,24.0,2.8,151,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
464,464,VNRChSb55s8,FUJIFILM,X-T2,100.0,35.0,8.0,0.5,0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
465,465,URnWOJX8wW4,Canon,Canon EOS 6D,800.0,50.0,1.6,1/80,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
468,468,lpddCskeg4A,Canon,Canon EOS 6D,100.0,105.0,8.0,1/400,0,0.0,0.0,1.0,2.0,2.0,1.0,2.0
474,474,ZBAE8NAyApw,Canon,Canon EOS 70D,160.0,35.0,4.0,1/750,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
477,477,SE4jDznVwRg,Canon,Canon EOS 6D,400.0,17.0,8.0,1/60,0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
478,478,BeDY9KuP0sI,FUJIFILM,X-T2,200.0,90.0,2.0,1/100,0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
482,482,OxbuqhIxtOg,SONY,ILCE-7RM3,100.0,85.0,1.4,1/1250,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
486,486,YtwIas3Bnjw,SONY,ILCE-7RM3,100.0,400.0,5.6,1/800,0,0.0,0.0,0.0,1.0,2.0,1.0,2.0
491,491,oH_ms8DfItI,SONY,ILCE-7RM3,100.0,85.0,1.4,1/3200,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
492,492,i7qnaWkt6iA,Canon,Canon EOS 1300D,100.0,147.0,8.0,1/10,0,0.0,0.0,1.0,2.0,1.0,1.0,2.0
493,493,gOc3VRa-eas,SONY,DSC-RX100M4,125.0,25.3,4.0,1/400,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
494,494,4IP4cPyyzRU,Canon,Canon EOS 7D,1600.0,50.0,1.8,1/160,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
501,501,ikU9mkrCAdQ,Canon,Canon EOS 5D Mark IV,640.0,38.0,10.0,1/1250,0,1.0,1.0,1.0,2.0,2.0,0.0,1.0
502,502,XyqwK1vvCDE,Ricoh,Pentax K-1,1600.0,43.0,2.0,750,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
503,503,J7424lT_e-A,Canon,Canon EOS 800D,800.0,50.0,1.8,1/400,0,1.0,1.0,0.0,0.0,2.0,0.0,1.0
506,506,7CwF-4IbqBo,Canon,Canon EOS 5D Mark IV,400.0,40.0,4.0,1/200,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
507,507,7RDsNSudv0U,Apple,iPhone 5,50.0,4.1,2.4,1/1323,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
509,509,xbeg3GcblgM,NIKON CORPORATION,NIKON D750,100.0,70.0,4.0,1/400,0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
510,510,XTIUBbxuBoo,SONY,ILCE-7RM2,100.0,85.0,5.0,1/1250,0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
511,511,w-LpijUp8yw,Canon,Canon EOS 7D,100.0,32.0,16.0,1/100,0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
513,513,9CjgeMAM2SI,FUJIFILM,X-T20,200.0,24.3,5.6,1/640,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
